TPLNR;PLTXT;TPLKZ;FLTYP;EQART;BRGEW;GEWEI;GROES;INVNR;DATAB;ANSWT;WAERS;ANSDT;HERST;HERLD;TYPBZ;BAUJJ;BAUMM;MAPAR;SERGE;SWERK;STORT;BEBER;MSGRP;ABCKZ;EQFNR;BUKRS;KOSTL;RBNR;ANLNR;ANLUN;PROID;IWERK;INGRP;GEWRK;WERGW;TPLMA;POSNR;SUBMT;IEQUI;EINZL;NAME1;SORT1;STREET;HOUSE_NUM1;POST_CODE1;CITY1;COUNTRY;REGION;TIME_ZONE;TEL_NUMBER;MOB_NUMBER;FAX_NUMBER;SMTP_ADDR;PARVW;PARNR;TEL_NUMBER_OLD;MOB_NUMBER_OLD;FAX_NUMBER_OLD;ZZITO_CAP_NOM;ZZITO_CAP_PART;PARNR_OLD;SMTP_ADDR_OLD;PARVW_OLD;LONGITUDE;LATITUDE;ALTITUDE;Z_ABCKZ;TRPNR;ADRNRI
COS-COG3-0A-1T-HV-A1;Transf medida/protección AT (TC);Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-HV-M1;Contador de energía;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M1;Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M2;Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M1-BS;Conexión MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M1;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M2-BS;Conexión MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M2;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M1-ZR;Reactor en derivación;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M1;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M2-ZR;Reactor en derivación;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M2;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M1-ER;Reactor de puesta a tierra;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M1;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M2-ER;Reactor de puesta a tierra;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M2;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M1-D1;Seccionador MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M1;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M2-D1;Seccionador MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M2;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M1-V1;Transf medida/protección MT (TV);Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M1;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1T-M2-V1;Transf medida/protección MT (TV);Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1T-M2;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L;Línea AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-HV;Sección AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-HV-BS;Conexión AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-OC;Obra civil;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-OL;Líneas eléctricas aéreas;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-UL;Líneas eléctricas subterráneas;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-HV-S1;Pararrayos AT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-HV-V1;Trafos M&P AT (TP);Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1L-HV-M1;Contador de energía;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1L-HV;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA;Distribución serv. auxiliares BT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-LP;Cuadro CC BT - ininterrumpido;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-LN;Cuadro CA BT - alim. normal/emerg.;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-LU;Cuadro CA BT - ininterrumpido;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-SB;Cuadro general BT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-SG;Celdas de maniobra BT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-LP-01;Cuadro de baja tensión CC n. 01;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA-LP;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-LN-01;Cuadro de baja tensión CA n. 01;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA-LN;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-LU-01;Cuadro de baja tensión CA n. 01;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA-LU;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-SB-01;Cuadro general BT n. 01;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA-SB;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-LA-SG-01;Celdas de maniobra BT n. 01;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-LA-SG;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA;Equipos servicio auxiliar;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA-DG;Generador diésel;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-SA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA-EP;Suministro eléctrico externo;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-SA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA-TR;Trafo servicio auxiliar;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-SA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA-UP;SAI (Sistema Aliment. Ininterr.);Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-SA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA-FC;HVAC (Climatización);Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-SA;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA-TR-01;Transformador n. 01;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-SA-TR;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-SA-TR-02;Transformador n. 02;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-SA-TR;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1M;Fdr n.01 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-2M;Fdr n.02 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-3M;Fdr n.03 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-4M;Fdr n.04 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-5M;Fdr n.05 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-6M;Fdr n.06 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-7M;Fdr n.07 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-8M;Fdr n.08 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-9M;Fdr n.09 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-AM;Fdr n.10 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-BM;Fdr n.11 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-CM;Fdr n.12 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-DM;Fdr n.13 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-EM;Fdr n.14 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-FM;Fdr n.15 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-GM;Fdr n.16 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-HM;Fdr n.17 - Conexión de alimentadores MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-1M-MA;Fdr n.01 - Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-1M;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-2M-MA;Fdr n.02 - Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-2M;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-3M-MA;Fdr n.03 - Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-3M;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-4M-MA;Fdr n.04 - Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-4M;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-5M-MA;Fdr n.05 - Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-5M;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
COS-COG3-0A-6M-MA;Fdr n.06 - Sección MT;Z-RSS;S;;;;;;;;;;;;;;;;;IIII;11;18;;I;;EEEE;TTTTTTTTTT;YYYYYYYY;;;;UUUU;NNN;KKKKKKK;PPPP;COS-COG3-0A-6M;;;;;;;;;;;CO;;;;;;;;;;;;;;;;;-12,00;12,88;;;;
